0 degree,30 degree,45 degree,60 degree,90 degree,120 degree,135 degree,150 degree,180 degree,velocity,angular_velocity
2.0948395729,2.3057591915,3.6380681992,2.734306097,5,2.7666914463,4.1640410423,2.1912202835,1.820057869,5,0
2.0510952473,2.257610321,3.5779006481,2.6772084236,5,2.8366847038,4.2717914581,2.2438852787,1.8638021946,5,0
2.0510952473,2.257610321,3.5779006481,2.6772084236,5,2.8366847038,4.2717914581,2.2438852787,1.8638021946,5,0
2.0073509216,2.209461689,3.5012834072,2.6201107502,5,2.9034383297,4.3723883629,2.2965505123,1.9075465202,5,0
2.0073509216,2.209461689,3.5012834072,2.6201107502,5,2.9034383297,4.3723883629,2.2965505123,1.9075465202,5,0
1.963606596,2.1613128185,3.4246664047,2.5630130768,5,2.970192194,4.4729852676,2.3492155075,1.9512908459,5,0
1.963606596,2.1613128185,3.4246664047,2.5630130768,5,2.970192194,4.4729852676,2.3492155075,1.9512908459,5,0
1.9198622704,2.1131641865,3.3417305946,2.5059154034,5,3.0239880085,4.5635795593,2.4018805027,1.9950351715,5,0
1.9198622704,2.1131641865,3.3417305946,2.5059154034,5,3.0239880085,4.5635795593,2.4018805027,1.9950351715,5,0
1.8761179447,2.065015316,3.257604599,2.4488177299,5,3.0877566338,4.6634478569,2.4545454979,2.0387794971,5,0
1.8761179447,2.065015316,3.257604599,2.4488177299,5,3.0877566338,4.6634478569,2.4545454979,2.0387794971,5,0
1.8323736191,2.016866684,3.1948149204,2.3917200565,5,3.1704535484,4.7747755051,2.5072107315,2.0825238228,5,0
1.8323736191,2.016866684,3.1948149204,2.3917200565,5,3.1704535484,4.7747755051,2.5072107315,2.0825238228,5,0
1.7886291742,1.9687179327,3.0851402283,2.3346226215,5,3.2232542038,4.8717956543,2.5598757267,2.1262681484,5,0
1.7886291742,1.9687179327,3.0851402283,2.3346226215,5,3.2232542038,4.8717956543,2.5598757267,2.1262681484,5,0
1.7448848486,1.9205691814,3.041580677,2.2775249481,5,3.2827885151,5,2.6125407219,2.1700124741,5,565.4866776462
1.7448848486,1.9205691814,3.041580677,2.2775249481,5,3.2827885151,5,2.6125407219,2.1700124741,5,565.4866776462
1.7381292582,2.0955991745,3.97159338,2.6484012604,5,2.8378911018,3.7776591778,2.393197298,2.1713941097,5,0
1.7381292582,2.0955991745,3.97159338,2.6484012604,5,2.8378911018,3.7776591778,2.393197298,2.1713941097,5,0
1.7730926275,2.1377532482,4.0689134598,2.705116272,5,2.792195797,3.7350978851,2.3546624184,2.1364307404,5,0
1.7730926275,2.1377532482,4.0689134598,2.705116272,5,2.792195797,3.7350978851,2.3546624184,2.1364307404,5,0
1.8080561161,2.1799073219,4.1398539543,2.7585496902,5,2.7465007305,3.6605992317,2.3161275387,2.101467371,5,0
1.8080561161,2.1799073219,4.1398539543,2.7585496902,5,2.7465007305,3.6605992317,2.3161275387,2.101467371,5,0
1.8430194855,2.2220616341,4.2203845978,2.8119833469,5,2.7008054256,3.6101267338,2.277592659,2.0665040016,5,0
1.8430194855,2.2220616341,4.2203845978,2.8119833469,5,2.7008054256,3.6101267338,2.277592659,2.0665040016,5,0
1.8779828548,2.2642157078,4.2973155975,2.8484559059,5,2.6551101208,3.5453000069,2.2390577793,2.0315406322,5,0
1.8779828548,2.2642157078,4.2973155975,2.8484559059,5,2.6551101208,3.5453000069,2.2390577793,2.0315406322,5,0
1.9129463434,2.3063697815,4.3928356171,2.9028482437,5,2.6094150543,5,2.200523138,1.9965771437,5,565.4866776462
1.9129463434,2.3063697815,4.3928356171,2.9028482437,5,2.6094150543,5,2.200523138,1.9965771437,5,565.4866776462
2.0340971947,2.7174170017,5,3.7426693439,5,2.2434494495,2.7672030926,1.9969595671,1.9684889317,5,-565.4866776462
2.0340971947,2.7174170017,5,3.7426693439,5,2.2434494495,2.7672030926,1.9969595671,1.9684889317,5,-565.4866776462
2.0606598854,2.484462738,4.3000788689,3.1445963383,5,2.4163615704,5,2.0377209187,1.8488634825,5,565.4866776462
2.0606598854,2.484462738,4.3000788689,3.1445963383,5,2.4163615704,5,2.0377209187,1.8488634825,5,565.4866776462
2.1853268147,2.9194498062,4.6431269646,3.8196656704,5,2.071095705,5,1.8435425758,1.8172591925,5,565.4866776462
