0 degree,30 degree,45 degree,60 degree,90 degree,120 degree,135 degree,150 degree,180 degree,velocity,angular_velocity
2.7756259441,3.041271925,3.3896193504,3.7595646381,5,5,2.1662349701,1.1029107571,1.0135757923,5,0
2.8683607578,2.9669950008,3.0918533802,3.5467648506,5,5,3.8934943676,1.5628527403,0.9991928935,5,0
2.8683607578,2.9669950008,3.0918533802,3.5467648506,5,5,3.8934943676,1.5628527403,0.9991928935,5,0
2.7907242775,2.7720932961,2.8751418591,3.2242136002,5,5,5,2.2649793625,1.2113466263,1,141.3716694115
2.7907242775,2.7720932961,2.8751418591,3.2242136002,5,5,5,2.2649793625,1.2113466263,1,141.3716694115
2.7075150013,2.8167169094,3.0666942596,3.4859583378,5,5,3.0514752865,1.7554937601,1.1223262548,5,0
2.7075150013,2.8167169094,3.0666942596,3.4859583378,5,5,3.0514752865,1.7554937601,1.1223262548,5,0
2.6996641159,2.5893743038,2.8276743889,3.2142608166,5,5,3.7398579121,2.1508975029,1.3631569147,5,0
2.6996641159,2.5893743038,2.8276743889,3.2142608166,5,5,3.7398579121,2.1508975029,1.3631569147,5,0
2.557133913,2.462184906,2.5886542797,2.9425630569,5,5,4.4589080811,2.5691721439,1.6179196835,5,0
2.557133913,2.462184906,2.5886542797,2.9425630569,5,5,4.4589080811,2.5691721439,1.6179196835,5,0
2.3921573162,2.2348423004,2.349634409,2.6708652973,5,5,5,2.9764139652,1.8726824522,1,141.3716694115
2.3921573162,2.2348423004,2.349634409,2.6708652973,5,5,5,2.9764139652,1.8726824522,1,141.3716694115
2.2314889431,2.2733421326,2.4997267723,3.0062491894,5,5,3.5822482109,2.4557142258,1.7640675306,5,0
2.2314889431,2.2733421326,2.4997267723,3.0062491894,5,5,3.5822482109,2.4557142258,1.7640675306,5,0
2.1741752625,2.115282774,2.3259277344,2.7972328663,5,5,3.9096148014,2.6754906178,1.9265273809,5,0
2.1741752625,2.115282774,2.3259277344,2.7972328663,5,5,3.9096148014,2.6754906178,1.9265273809,5,0
2.0117154121,1.9572236538,2.152128458,2.5882165432,5,5,4.2435002327,2.8994984627,2.088987112,5,0
2.0117154121,1.9572236538,2.152128458,2.5882165432,5,5,4.2435002327,2.8994984627,2.088987112,5,0
1.8492555618,1.7991644144,1.9783293009,2.3792002201,5,5,4.5686149597,3.1251482964,2.2514469624,5,0
1.8492555618,1.7991644144,1.9783293009,2.3792002201,5,5,4.5686149597,3.1251482964,2.2514469624,5,0
1.6867957115,1.6411050558,1.8045301437,2.1701841354,5,5,4.9027376175,3.3630914688,2.4139068127,5,0
1.6867957115,1.6411050558,1.8045301437,2.1701841354,5,5,4.9027376175,3.3630914688,2.4139068127,5,0
1.5243358612,1.4830458164,1.6307309866,1.9611676931,4.7872843742,5,5,3.600487709,2.576366663,1,141.3716694115
1.5243358612,1.4830458164,1.6307309866,1.9611676931,4.7872843742,5,5,3.600487709,2.576366663,1,141.3716694115
1.4683358669,1.5623909235,1.8066952229,2.3066561222,5,5,4.0619988441,3.107121706,2.4734790325,5,0
1.4683358669,1.5623909235,1.8066952229,2.3066561222,5,5,4.0619988441,3.107121706,2.4734790325,5,0
1.376952529,1.4785144329,1.709703207,2.1942110062,5,5,4.200753212,3.2066009045,2.5526714325,5,0
1.376952529,1.4785144329,1.709703207,2.1942110062,5,5,4.200753212,3.2066009045,2.5526714325,5,0
1.3167504072,1.3946378231,1.6127113104,2.0626409054,5,5,4.3251123428,3.3060803413,2.6318635941,5,0
1.3167504072,1.3946378231,1.6127113104,2.0626409054,5,5,4.3251123428,3.3060803413,2.6318635941,5,0
1.2375582457,1.3107613325,1.5157192945,1.9437980652,5,5,4.4570903778,3.4055595398,2.7110557556,5,0
1.2375582457,1.3107613325,1.5157192945,1.9437980652,5,5,4.4570903778,3.4055595398,2.7110557556,5,0
1.1583659649,1.2268847227,1.4187273979,1.8186030388,5,5,4.5933175087,3.5050387383,2.7902479172,5,0
1.1583659649,1.2268847227,1.4187273979,1.8186030388,5,5,4.5933175087,3.5050387383,2.7902479172,5,0
1.0732129812,1.1430082321,1.3217355013,1.6738686562,5,5,4.7231893539,3.6045179367,2.8694403172,5,0
1.0732129812,1.1430082321,1.3217355013,1.6738686562,5,5,4.7231893539,3.6045179367,2.8694403172,5,0
0.9922158122,1.0509066582,1.2247434855,1.5682587624,5,5,4.8399295807,3.7039973736,2.9486324787,5,0
0.9922158122,1.0509066582,1.2247434855,1.5682587624,5,5,4.8399295807,3.7039973736,2.9486324787,5,0
0.920789361,0.9752551317,1.1277515888,1.4430179596,5,5,5,3.803476572,3.0278246403,1,141.3716694115
0.920789361,0.9752551317,1.1277515888,1.4430179596,5,5,5,3.803476572,3.0278246403,1,141.3716694115
0.9200000167,1.0641261339,1.3159886599,1.8633829355,5,5,4.1419272423,3.3977644444,2.9670820236,5,0
0.9200000167,1.0641261339,1.3159886599,1.8633829355,5,5,4.1419272423,3.3977644444,2.9670820236,5,0
0.9329180717,1.0790679455,1.3187190294,1.8700541258,5,5,4.1419272423,3.3977644444,2.9670820236,5,0
0.9329180717,1.0790679455,1.3187190294,1.8700541258,5,5,4.1419272423,3.3977644444,2.9670820236,5,0
0.9329180717,1.0790679455,1.3187190294,1.8700541258,5,5,4.1419272423,3.3977644444,2.9670820236,5,0
0.9329180717,1.0790679455,1.3187190294,1.8700541258,5,5,4.1419272423,3.3977644444,2.9670820236,5,0
0.9200000167,1.0790679455,1.3187190294,1.8700541258,5,5,4.1419272423,3.3977644444,2.9670820236,5,0
0.9200000167,1.0790679455,1.3187190294,1.8700541258,5,5,4.1419272423,3.3977644444,2.9670820236,5,0
0.9200000167,1.0790679455,1.316981554,1.869530201,5,5,4.1419272423,3.3977644444,2.9670820236,5,0
0.9200000167,1.0790679455,1.316981554,1.869530201,5,5,4.1419272423,3.3977644444,2.9670820236,5,0
0.9329180717,1.0790679455,1.3187190294,1.8700541258,5,5,4.1419272423,3.3977644444,2.9670820236,5,0
